"","IMPL_SUCC_1","BUDG_COMP_2","TASK_COMP_3","STAKEH_ACC_4","DEPLOY_6","ACT_INTG_7","EMPL_SKI_8","EMPL_SAT_9","EMPL_BEL_10","BUSI_IMP_11","ORG_IMP_12","DEC_IMP_13","LD_SUP_1","EMP_ATT_3","RES_AVL_4","LD_INV_5","PRJ_SEL_6","DEF_MEA_7","LD_STL_9","DAT_QLT_11","EMP_ENG_12","TOOL_AP_13","CONTX_CUS_14","EFT_REQ_15","TRA_EDUC_18","WKF_SKL_19","EXP_CON_20","UND_CNG_22","PAT_RES_24","CUS_IDEF_26"
"50",5,4,4,4,5,4,5,5,5,4,5,4,6,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,3,4
"51",5,5,5,5,2,3,5,5,5,4,5,4,6,5,5,6,5,5,5,5,6,5,5,5,4,4,5,3,4,4
"52",5,5,4,4,3,3,4,4,4,3,5,4,4,4,3,4,4,4,4,2,6,5,5,5,5,4,5,4,4,4
"53",4,5,3,4,3,4,5,5,6,5,4,3,4,4,3,3,4,5,5,4,5,6,4,5,3,4,6,5,3,6
"54",5,5,3,4,5,4,5,5,5,4,4,4,6,4,5,6,3,3,5,2,5,5,5,5,6,5,6,4,3,4
"55",5,5,3,4,4,4,5,4,4,5,5,4,5,4,2,3,2,1,5,3,6,4,5,3,3,3,4,6,2,4
"56",2,4.70769230769231,4,5,1,3,4,5,5,2,4,3,4,5,3,3,2,3,3,3,6,5,5,4,5,3,6,5,5,4
"57",6,6,4,4,5,5,5,5,6,5,5,6,6,6,5,6,4,4,6,3,5,4,5,5,6,4,6,5,4,4
"58",5,3,3,4,3,5,4,5,6,4,4,4,4,6,3,3,4,3,3,4,5,5,5,5,3,4,6,4,3,3
"59",4,5,3,5,2,3,4,5,5,4,5,3,4,4,4,4,3,4,3,5,5,5,4,4.25757575757576,4,3,6,5,4,6
"60",5,6,6,6,4,4,6,6,4,6,6,4,4,4,4,5,5,4,4,5,6,6,6,5,4,3,6,5,5,5
"61",5,6,5,4,4,4,5,6,6,4,4,4,4,6,2,4,5,4,5,5,6,6,6,5,4,4,6,5,3,6
"62",4,4,4,4,4,4,4,4,5,4,4,4,5,5,4,5,5,5,5,5,5,5,5,4,4,4,4,5,4,4
"63",6,6,6,6,4,4,5,5,4,5,6,4,5,4,4,3,3,4,3,6,5,5,6,5,3,4,3,4,3,5
"64",5,6,6,5,6,5,6,5,5,5,6,5,6,5,6,5,6,4,5,4,6,6,5,5,5,5,6,6,4,6
"65",6,6,6,6,2,5,5,6,6,5,6,5,6,5,6,6,5,5,6,5,5,5,5,5,6,5,6,5,5,6
"66",5,4,4,4,4,4,4,4,5,4,4,4,4,4,5,5,4,5,4,4,5,4,4,4,4,3,5,5,4,4
"67",4,5,4,5,2,2,5,5,3,5,5,5,4,4,3,4,3,3,3,5,4,4,3,4,3,3,4,5,3,5
